"179.13,-5.00,5.88"
"179.19,-4.81,5.63"
"179.13,-4.81,5.56"
"179.31,-4.31,3.50"
"179.25,-3.31,0.13"
"179.00,-2.25,-2.31"
"178.38,-1.19,-3.19"
"177.44,-0.81,-3.31"
"176.63,-0.94,-2.69"
"175.69,-1.06,-1.25"
"174.94,-1.13,-0.44"
"174.81,-1.13,-0.56"
"174.81,-1.06,-0.81"
"175.19,-0.63,-1.56"
"176.06,0.00,-3.06"
"177.31,0.81,-4.88"
"178.63,1.63,-6.31"
"180.00,1.75,-7.25"
"181.50,1.81,-7.81"
"182.88,2.13,-8.25"
"184.38,2.81,-9.19"
"186.00,3.63,-9.88"
"187.69,4.13,-10.13"
"189.63,4.25,-10.50"
"191.06,4.25,-10.81"
"193.25,4.06,-10.81"
"195.38,3.75,-10.69"
"197.25,3.44,-10.63"
"198.75,2.88,-10.75"
"199.88,2.13,-10.69"
"200.63,1.13,-10.44"
"200.94,0.38,-10.69"
"200.81,-0.06,-11.06"
"200.38,-0.69,-10.94"
"199.75,-1.44,-10.63"
"198.81,-1.88,-10.25"
"197.44,-2.13,-9.81"
"195.75,-2.13,-9.38"
"193.75,-2.00,-8.94"
"191.50,-1.88,-8.63"
"188.94,-1.63,-8.50"
"186.31,-1.19,-8.44"
"183.75,-1.13,-8.13"
"181.38,-1.00,-7.75"
"179.13,-0.75,-7.63"
"177.19,-0.56,-7.19"
"175.38,-0.38,-6.13"
"173.69,-0.44,-4.44"
"172.13,-0.38,-3.19"
"171.13,-0.63,-2.69"
"170.13,-0.69,-0.81"
"169.50,0.38,2.31"
"169.06,1.38,5.06"
"170.19,4.06,8.19"
"173.31,7.81,15.88"
"176.38,13.50,27.88"
"179.38,16.44,36.88"
"185.56,16.19,38.63"
"194.31,17.13,37.25"
"202.13,13.94,30.13"
"209.38,13.13,24.25"
"215.50,20.38,10.81"
"216.75,26.69,-3.94"
"218.69,23.81,-5.13"
"214.94,12.81,-0.31"
"211.88,1.13,12.88"
"214.75,14.19,26.00"
"212.06,22.25,48.88"
"205.75,16.19,48.06"
"202.06,17.06,42.00"
"198.50,15.31,36.94"
"197.94,9.00,36.88"
"192.56,-2.31,33.13"
"189.81,0.00,14.88"
"187.50,-1.94,2.25"
"186.38,0.50,6.56"
"186.25,0.50,6.44"
"185.94,0.63,4.25"
"185.88,0.69,5.69"
"185.81,0.69,5.94"
"185.81,0.69,4.81"
"185.81,0.69,6.00"
"185.81,0.69,4.94"
"185.81,0.69,5.75"
"185.81,0.69,5.13"
"185.81,0.69,5.50"
"185.81,0.69,5.25"
"185.81,0.69,5.38"
"185.81,0.69,5.31"
"185.81,0.75,5.31"
"185.81,0.75,5.38"
"185.81,0.75,5.31"
"185.81,0.75,5.38"
